WBID,name,type,OC,OC_num,MC,MC_num,RBD,RBD_num
GB510302402900,WEAR,Transitional,Wear Lower and Estuary TraC,3521,Northumbria TraC,3068,Northumbria,3
GB680301430000,Holy Island & Budle Bay,Coastal,Holy Island and Budle Bay,3225,Northumbria TraC,3068,Northumbria,3
GB510302509900,TEES,Transitional,Tees Lower and Estuary TraC,3446,Northumbria TraC,3068,Northumbria,3
GB650301500005,Tees Coastal,Coastal,Tees Lower and Estuary TraC,3446,Northumbria TraC,3068,Northumbria,3
GB650301500001,Northumberland South,Coastal,Northumberland South,3340,Northumbria TraC,3068,Northumbria,3
GB650301440000,Northumberland North,Coastal,Northumberland North,3339,Northumbria TraC,3068,Northumbria,3
GB650301500002,Tyne and Wear,Coastal,Tyne and Wear,3477,Northumbria TraC,3068,Northumbria,3
GB103022077070,Long Nanny from Source to N Sea,River,Berwick to Alnmouth Coast,3030,Northumberland Rivers,3067,Northumbria,3
GB103022076480,Elwick Burn from Source to Ross Low,River,Berwick to Alnmouth Coast,3030,Northumberland Rivers,3067,Northumbria,3
GB103022076370,Embleton Burn form Source to N Sea,River,Berwick to Alnmouth Coast,3030,Northumberland Rivers,3067,Northumbria,3
GB103021073240,North Low from Berrington Burn to N Sea,River,Berwick to Alnmouth Coast,3030,Northumberland Rivers,3067,Northumbria,3
GB30326917,Lake at Haggerston Castle Holiday Park,Lake,Berwick to Alnmouth Coast,3030,Northumberland Rivers,3067,Northumbria,3
GB103022077080,Annstead Burn from Source to N Sea,River,Berwick to Alnmouth Coast,3030,Northumberland Rivers,3067,Northumbria,3
GB103022076360,Rennington Burn from Source to N Sea,River,Berwick to Alnmouth Coast,3030,Northumberland Rivers,3067,Northumbria,3
GB103021073260,North Low from Source to Berrington Burn,River,Berwick to Alnmouth Coast,3030,Northumberland Rivers,3067,Northumbria,3
GB103022076460,Belford Burn from Source to Ross Low,River,Berwick to Alnmouth Coast,3030,Northumberland Rivers,3067,Northumbria,3
GB103022076490,Fenham Burn Catchment (to N Sea),River,Berwick to Alnmouth Coast,3030,Northumberland Rivers,3067,Northumbria,3
GB103022076411,Waren Burn from Source to N Sea,River,Berwick to Alnmouth Coast,3030,Northumberland Rivers,3067,Northumbria,3
GB103022076430,Newlands Burn Catchment (trib of Waren Burn),River,Berwick to Alnmouth Coast,3030,Northumberland Rivers,3067,Northumbria,3
GB103022076400,Brunton burn from Source to N Sea,River,Berwick to Alnmouth Coast,3030,Northumberland Rivers,3067,Northumbria,3
GB103021073230,Berrington Burn from Source to North Low,River,Berwick to Alnmouth Coast,3030,Northumberland Rivers,3067,Northumbria,3
GB103021073221,South Low from Source to Haggerston Bridge,River,Berwick to Alnmouth Coast,3030,Northumberland Rivers,3067,Northumbria,3
GB103022076470,Ross Low from Source to Eldwick Burn,River,Berwick to Alnmouth Coast,3030,Northumberland Rivers,3067,Northumbria,3
GB103021073222,South Low from Haggerston Bridge to N Sea,River,Berwick to Alnmouth Coast,3030,Northumberland Rivers,3067,Northumbria,3
GB103022076190,Seaton Burn from Source to Tidal Limit,River,Blyth,3036,Northumberland Rivers,3067,Northumbria,3
GB30328075,Big Waters Reservoir,Lake,Blyth,3036,Northumberland Rivers,3067,Northumbria,3
GB103022076230,Sleek Burn / Hepscott Burn Source  to Tidal Limit,River,Blyth,3036,Northumberland Rivers,3067,Northumbria,3
GB103022076220,Duddo Burn from Source to Blyth,River,Blyth,3036,Northumberland Rivers,3067,Northumbria,3
GB30347025,New Hartley Ponds,Lake,Blyth,3036,Northumberland Rivers,3067,Northumbria,3
GB103022077052,Blyth from Pont to Tidal Limit,River,Blyth,3036,Northumberland Rivers,3067,Northumbria,3
GB103022076540,Forest Burn Catchment (trib of Coquet),River,Coquet Lower,3105,Northumberland Rivers,3067,Northumbria,3
GB103022076693,Coquet from Forest Burn to Tidal Limit,River,Coquet Lower,3105,Northumberland Rivers,3067,Northumbria,3
GB103022076500,Todd Burn Catchment (trib of Coquet),River,Coquet Lower,3105,Northumberland Rivers,3067,Northumbria,3
GB103022076640,Black Burn Catchment (trib of Coquet),River,Coquet Lower,3105,Northumberland Rivers,3067,Northumbria,3
GB103022076720,Tyelaw Burn Catchment (trib of Coquet),River,Coquet Lower,3105,Northumberland Rivers,3067,Northumbria,3
GB103022076550,Longdike Burn Catchment (trib of Coquet),River,Coquet Lower,3105,Northumberland Rivers,3067,Northumbria,3
GB103022076692,Coquet from Holystone Burn to Forest Burn,River,Coquet Lower,3105,Northumberland Rivers,3067,Northumbria,3
GB103022076710,Hazon Burn Catchment (trib of Coquet),River,Coquet Lower,3105,Northumberland Rivers,3067,Northumbria,3
GB103022076660,Swarland Burn Catchment (trib of Coquet),River,Coquet Lower,3105,Northumberland Rivers,3067,Northumbria,3
GB30327880,Sweethope Loughs,Lake,Wansbeck,3515,Northumberland Rivers,3067,Northumbria,3
GB103022076510,Font from Source to Wansbeck,River,Wansbeck,3515,Northumberland Rivers,3067,Northumbria,3
GB30327677,Fontburn Reservoir,Lake,Wansbeck,3515,Northumberland Rivers,3067,Northumbria,3
GB103022076990,Wansbeck from Ray Burn to Hart Burn,River,Wansbeck,3515,Northumberland Rivers,3067,Northumbria,3
GB103022077030,Bothal Burn Catchment (trib of Wansbeck),River,Wansbeck,3515,Northumberland Rivers,3067,Northumbria,3
GB103022077010,Hart Burn from Delf Burn to Wansbeck,River,Wansbeck,3515,Northumberland Rivers,3067,Northumbria,3
GB103022077062,Wansbeck from Bothal Burn to North Sea,River,Wansbeck,3515,Northumberland Rivers,3067,Northumbria,3
GB103022077061,Wansbeck from Font to Bothal Burn,River,Wansbeck,3515,Northumberland Rivers,3067,Northumbria,3
GB103022076980,Wansbeck from Hart Burn to Font,River,Wansbeck,3515,Northumberland Rivers,3067,Northumbria,3
GB103022077040,Delf Burn Catchment (trib of Hart Burn),River,Wansbeck,3515,Northumberland Rivers,3067,Northumbria,3
GB103022077020,Hart Burn from Source to Delf Burn,River,Wansbeck,3515,Northumberland Rivers,3067,Northumbria,3
GB103022076970,Ray Burn Catchment (trib of Wansbeck),River,Wansbeck,3515,Northumberland Rivers,3067,Northumbria,3
GB103022076960,Wansbeck from Source to Ray Burn,River,Wansbeck,3515,Northumberland Rivers,3067,Northumbria,3
GB103022076860,Pont from Med Burn to Small Burn,River,Pont,3366,Northumberland Rivers,3067,Northumbria,3
GB103022076830,Med Burn from Source to Pont,River,Pont,3366,Northumberland Rivers,3067,Northumbria,3
GB103022076900,Ogle Burn Catchment (trib of Blyth),River,Pont,3366,Northumberland Rivers,3067,Northumbria,3
GB103022076850,Pont from Source to Fenwick Burn,River,Pont,3366,Northumberland Rivers,3067,Northumbria,3
GB103022076880,Fenwick Burn from Source to Pont,River,Pont,3366,Northumberland Rivers,3067,Northumbria,3
